יין אורז,,,,,,,,,,
מלח גס,,,,,,,,,,
מלח לימון,,,,,,,,,,
מלח,,,,,,,,,,
פירורי לחם,,,,,,,,,,
לחם,,,,,,,,,,
אגוז מוסקט,מוסקט,משיה,משייה,מאשייה,מאשיה,,,,,
אגוז מלך,אגוזי מלך,,,,,,,,,
אגוז לוז,אגוזי לוז,,,,,,,,,
אגוז ברזיל,אגוזי ברזיל,,,,,,,,,
אבקת סוכר,,,,,,,,,,
פיתות,,,,,,,,,,
פריכיות אורז,,,,,,,,,,
איטריות אורז,,,,,,,,,,
אורז,,,,,,,,,,
פסטה,מקרוני,ספגטי,לינגוויני,פטוציני,פסטת,,,,,
פתיתים,,,,,,,,,,
איטריות ביצים,,,,,,,,,,
איטריות,אטריות,נודלס,,,,,,,,
בורגול,גריש,ג'ריש,,,,,,,,
קוסקוס,,,,,,,,,,
קמח תופח,,,,,,,,,,
קמח חומוס,,,,,,,,,,
קמח כוסמין,,,,,,,,,,
קמח תירס,,,,,,,,,,
קמח,,,,,,,,,,
סולת,,,,,,,,,,
אבקת אפיה,אבקת אפייה,,,,,,,,,
סוכר וניל,,,,,,,,,,
סוכר,,,,,,,,,,
גרגירי חומוס,,,,,,,,,,
חומוס,,,,,,,,,,
עדשים,,,,,,,,,,
תירס גמדי,,,,,,,,,,
תירס,,,,,,,,,,
שעועית אדומה,,,,,,,,,,
שעועית ירוקה,,,,,,,,,,
שעועית שחורה,,,,,,,,,,
שעועית,,,,,,,,,,
תה,,,,,,,,,,
פולי קפה,,,,,,,,,,
קפה שחור,,,,,,,,,,
קפה,,,,,,,,,,
סירופ שוקולד,,,,,,,,,,
ממרך שוקולד,נוטלה,שחר,,,,,,,,
שוקולד מריר,מריר,,,,,,,,,
שוקולד חלב,,,,,,,,,,
שוקולד לבן,,,,,,,,,,
שוקולד,,,,,,,,,,
ריבה,ריבת,,,,,,,,,
דבש,,,,,,,,,,
טחינה,,,,,,,,,,
קקאו,,,,,,,,,,
אבקת מרק,מרק עוף,מרק,,,,,,,,
עוגיות,,,,,,,,,,
פירות יבשים,,,,,,,,,,
וופל,,,,,,,,,,
עוף שלם,,,,,,,,,,
חזה עוף,חזות עוף,,,,,,,,,
כרעיים,כרעי עוף,,,,,,,,,
כנפיים,כנפי עוף,,,,,,,,,
כבד,כבדים,,,,,,,,,
ירך הודו,,,,,,,,,,
חזה הודו,,,,,,,,,,
בשר טחון,בשר בקר טחון,בשר עגל טחון,בקר טחון,בשר בקר רזה טחון,בשר קצוץ,טחון,,,,
שניצל,,,,,,,,,,
לבבות,,,,,,,,,,
פרגית,,,,,,,,,,
עופיון,עופיונים,,,,,,,,,
פילה עוף,,,,,,,,,,
עוף טחון,חזה עוף טחון,,,,,,,,,
שוקיים,פולקע,שוקי עוף,שוק עוף,,,,,,,
יריכיים,ירכי עוף,ירכיים עוף,ירכיים,,,,,,,
גרונות,,,,,,,,,,
קורקבנים,,,,,,,,,,
ורד הצלע,אנטריקוט,אנטרקוט,,,,,,,,
צלעות,,,,,,,,,,
חזה בקר,ברוסט,,,,,,,,,
צלי כתף,צלי,,,,,,,,,
כתף בקר,כתף,כתף מרכזי,,,,,,,,
פילה מדומה,פאלש,,,,,,,,,
שריר הזרוע,פולן,,,,,,,,,
קשתית,שפונדרה,,,,,,,,,
צוואר,,,,,,,,,,
סינטה,מותן,,,,,,,,,
פילה,,,,,,,,,,
שייטל,כנף העוקץ,,,,,,,,,
אווזית,קאצ'ה,קאצה,,,,,,,,
ויסבראטן ,ראש ירכה ,,,,,,,,,
צ'אק,ירכה,צאק,,,,,,,,
פלדה,כסליים ,,,,,,,,,
שריר אחורי,פולי ,,,,,,,,,
דניס,,,,,,,,,,
בורי,,,,,,,,,,
מוסר ים,מוסר,,,,,,,,,
לברק,,,,,,,,,,
בר ים,,,,,,,,,,
מרמיר,,,,,,,,,,
סרגוסים,,,,,,,,,,
ברבוניות,ברבוניה,בורבוניות,,,,,,,,
בס,,,,,,,,,,
סלמון,,,,,,,,,,
לוקוס שחור,,,,,,,,,,
לוקוס,לוקוס לבן,,,,,,,,,
לוקוס סלע,,,,,,,,,,
פלמידה לבן,,,,,,,,,,
איילת ים,חזיר ים,,,,,,,,,
אינטיאס,,,,,,,,,,
פלמידה שחורה,,,,,,,,,,
טונה טרי,,,,,,,,,,
שרימפס,,,,,,,,,,
קלמרי,,,,,,,,,,
תמנון,,,,,,,,,,
אמנון,מושט,,,,,,,,,
ברמונדי,,,,,,,,,,
פורל,,,,,,,,,,
נסיכת הנילוס,,,,,,,,,,
סרדינים,,,,,,,,,,
סיבס,,,,,,,,,,
קרפיון,,,,,,,,,,
פרידה,,,,,,,,,,
מליטה,,,,,,,,,,
נקניק,,,,,,,,,,
נקנקיה,נקנקיות,,,,,,,,,
מלאווח,,,,,,,,,,
אפונה,אפונת,אפונים,,,,,,,,
פול,,,,,,,,,,
בצק עלים,,,,,,,,,,
ביצים,חלמון,חלבון,ביצה,חלמונים,חלבונים,ביצת,ביצי,,,
חמאת בוטנים,,,,,,,,,,
חמאה,חמאת,חמאות,,,,,,,,
מרגרינה,,,,,,,,,,
גבינה צהובה,גבנצ,עמק,,,,,,,,
גבינה לבנה,סקי,סימפוניה,,,,,,,,
לבנה,,,,,,,,,,
קממבר,,,,,,,,,,
גבינה צפתית,צפתית,,,,,,,,,
רוקפור,,,,,,,,,,
מוצרלה,,,,,,,,,,
אמנטל,,,,,,,,,,
פטה,,,,,,,,,,
בולגרית,,,,,,,,,,
קוטג',קוטג,,,,,,,,,
גבינת שמנת,,,,,,,,,,
גורגונזולה,,,,,,,,,,
גאודה,,,,,,,,,,
צ'דר,צדר,,,,,,,,,
ברי,,,,,,,,,,
מנצ'גו,מנצגו,,,,,,,,,
פרמזן,פרמז'ן,פרמגיאן,פארמאזן,פרמזנו,פרמגאנו,,,,,
כרובית,,,,,,,,,,
כרוב סגול,,,,,,,,,,
כרוב,,,,,,,,,,
בירה,,,,,,,,,,
יין אדום,ייו אדום יבש,,,,,,,,,
יין לבן,שרדונה,,,,,,,,,
יין,,,,,,,,,,
שמן שומשום,,,,,,,,,,
שמן זית,,,,,,,,,,
שמן,תרסיס שימון,,,,,,,,,
חומץ,,,,,,,,,,
מלפפון חמוץ,מלפפונים חמוצים,קורנישונים,,,,,,,,
מלפפון,מלפפונים,,,,,,,,,
רסק עגבניות,רוטב עגבניות,רסק,ריכוז,פאסטה,,,,,,
שומר,,,,,,,,,,
עגבניה,עגבניות,עגבנייה,עבנייה,עגבנית,עבניות,שרי,עגביות,,,
תפוח,תפוחים,,,,,,,,,
אגס,אגסים,,,,,,,,,
תפוח אדמה,תפוחי אדמה,"תפו""א",תפוא,תפא,תפודים,פירה,תםוחי אדמה,,,
בצל ירוק,,,,,,,,,,
בצלצל,בצל שאלוט,,,,,,,,,
בצל,בצלים,,,,,,,,,
מיץ לימון,,,,,,,,,,
לימון,לימונים,,,,,,,,,
גמבה,פלפלת,גמבות,גבמה,,,,,,,
פלפל לבן,,,,,,,,,,
פלפל שחור,פלפל אנגלי,,,,,,,,,
פלפל אדום,,,,,,,,,,
פלפל ירוק,,,,,,,,,,
פלפל,פלפלים,,,,,,,,,
גזר גמדי,,,,,,,,,,
גזר,,,,,,,,,,
בטטה,בטטות,,,,,,,,,
עלי סלק,מנגולד,,,,,,,,,
סלק,,,,,,,,,,
קישוא,זוקיני,קישו,סקוואצ,,,,,,,
דלורית,,,,,,,,,,
בננה,בננות,,,,,,,,,
דלעת,,,,,,,,,,
תפוז סיני,,,,,,,,,,
תפוז,תפוזים,,,,,,,,,
קלמנטינה ,קלמנטינות,,,,,,,,,
אשכולית,,,,,,,,,,
צנון,צנונים,,,,,,,,,
לפת,,,,,,,,,,
קולורבי,,,,,,,,,,
אבקת שום,,,,,,,,,,
שום,שיני קצוץ,שן שם,שיני קצוצות,שיני שם,,,,,,
אבוקדו,,,,,,,,,,
עגבניות משומרות,,,,,,,,,,
קיווי,קיוי,,,,,,,,,
אפרסק,,,,,,,,,,
שזיף,שזיפים,,,,,,,,,
אבטיח,אבטיחים,,,,,,,,,
ענבים,,,,,,,,,,
מלון,,,,,,,,,,
מנגו,,,,,,,,,,
חסה,חסות,,,,,,,,,
סלרי,כרפס,,,,,,,,,
פטריות שמפניון,פטריון שמפניון,שמפיניון,שמפניון,,,,,,,
פטריות פורטובלו,,,,,,,,,,
פטריות שיטאקי,פטריית שיטאקה,שיטאקי,,,,,,,,
כמהין,,,,,,,,,,
פטריות,פטריה,פטרייה,פיטריות,,,,,,,
זית שחור,זיתים שחורים,,,,,,,,,
זית ירוק,זיתים ירוקים,,,,,,,,,
זית,זיתים,,,,,,,,,
טונה,,,,,,,,,,
מיונז,,,,,,,,,,
קטשופ,,,,,,,,,,
חרדל,,,,,,,,,,
פיסטוק,,,,,,,,,,
קשיו,קאשיו,,,,,,,,,
צנובר,,,,,,,,,,
פקאן,פקאנים,,,,,,,,,
בוטנים,,,,,,,,,,
ערמונים,,,,,,,,,,
מקדמיה,,,,,,,,,,
שקד,,,,,,,,,,
פירות יער,פטל,גרגרי יער,אוכמניות,דומדמניות,זרשק,,,,,
מנדרינה,מנדרינות,,,,,,,,,
ברוקולי,,,,,,,,,,
זנגביל,ג'ינג'ר,גינגר,גינגיר,גנגר,,,,,,
סרטן,סרטנים,,,,,,,,,
שמרים,שימרית,,,,,,,,,
סודה,,,,,,,,,,
מח עצם,,,,,,,,,,
מח,מוח,,,,,,,,,
סויה,סוייה,,,,,,,,,
טריאקי,,,,,,,,,,
רוטב צ'ילי,רוטב צילי,,,,,,,,,
בלסמי,,,,,,,,,,
יוגורט,יוגורמה,דנונה,יוגרוט,,,,,,,
עלי רוקט,רוקט,,,,,,,,,
תרד,,,,,,,,,,
עלי בייבי,,,,,,,,,,
פטרוזיליה,פטרוזיה,,,,,,,,,
כוסברה,ברה,,,,,,,,,
נענע,,,,,,,,,,
שמיר,,,,,,,,,,
מסקרפונה,,,,,,,,,,
גבינה מותכת,,,,,,,,,,
גבינת עזים,גבינת עיזים,פרומעז,גבינות עיזים,גבינות צאן,,,,,,
שמנת חמוצה,,,,,,,,,,
שמנת מתוקה,שמנת להקצפה,,,,,,,,,
שמנת לבישול,,,,,,,,,,
שמנת,,,,,,,,,,
תותים,תות,,,,,,,,,
גבינת קשקבל,קאשקבלו,,,,,,,,,
בצק,,,,,,,,,,
ביסקוויטים,פתי בר,ביסקוויט,,,,,,,,
בישקוט,,,,,,,,,,
פפריקה,פריקה,,,,,,,,,
גריל עוף,,,,,,,,,,
לחמניות,,,,,,,,,,
אורגנו,אורגאנו,,,,,,,,,
אזובית,,,,,,,,,,
ארוגולה ,,,,,,,,,,
בזיליקום,,,,,,,,,,
הל,קרדמון,,,,,,,,,
זעפרן,,,,,,,,,,
חילבה,,,,,,,,,,
טרגון,,,,,,,,,,
טימין,תימין,קורנית,,,,,,,,
כורכום,כרכום,כורכות,כרוכום,,,,,,,
כמון,,,,,,,,,,
קימל,כרוויה,,,,,,,,,
מרצפן,,,,,,,,,,
מי ורדים,,,,,,,,,,
תמצית וניל,,,,,,,,,,
חלבה,,,,,,,,,,
מייס,,,,,,,,,,
עלי דפנה,,,,,,,,,,
פרג,,,,,,,,,,
ציפורן,,,,,,,,,,
צ'ילי,צילי,,,,,,,,,
קינמון,,,,,,,,,,
קמומיל,,,,,,,,,,
רוזמרין,,,,,,,,,,
שומשום,,,,,,,,,,
קצפת,גלידן,,,,,,,,,
מרווה,מרוות,,,,,,,,,
תמצית שקד,,,,,,,,,,
סוכריות,,,,,,,,,,
רוטב מירין,מירין,,,,,,,,,
אספרגוס,,,,,,,,,,
פולים ירוקים,,,,,,,,,,
תפוציפס,תפוצ'יפס,,,,,,,,,
זעתר,,,,,,,,,,
בוטרגו,,,,,,,,,,
לציטין,,,,,,,,,,
ליים,,,,,,,,,,
עלי גפן,,,,,,,,,,
סילאן,,,,,,,,,,
שיבולת שועל,קוואקר,,,,,,,,,
וודקה,,,,,,,,,,
ויסקי,וויסקי,,,,,,,,,
ברנדי,,,,,,,,,,
לוטוס,,,,,,,,,,
קינואה,,,,,,,,,,
כרישה,כרישות,כרשה,כרשות,כרישא,,,,,,
אצת קומבו,,,,,,,,,,
אצה,אצות,נורי,,,,,,,,
ערק,עראק,,,,,,,,,
אניס,,,,,,,,,,
דובדבנים,דובדבן,דובדבני,,,,,,,,
קולה,,,,,,,,,,
שערות קדאיף,קדאיף,שערות כנאפה,,,,,,,,
פומלה,,,,,,,,,,
פומלית,,,,,,,,,,
אינסטנט פודינג,,,,,,,,,,
פודינג,,,,,,,,,,
שוקולית,,,,,,,,,,
מרשמלו,,,,,,,,,,
בייגלה,,,,,,,,,,
בצק פילו,פילו,,,,,,,,,
תמר,,,,,,,,,,
אננס,,,,,,,,,,
חלב קוקוס,,,,,,,,,,
חלב שקדים,,,,,,,,,,
חלב סויה,,,,,,,,,,
חלב,,,,,,,,,,
קוקוס,,,,,,,,,,
קצח,,,,,,,,,,
בגט,באגטים,באגט,,,,,,,,
גלידה,,,,,,,,,,
חזה אווז,,,,,,,,,,
ביצי שליו,,,,,,,,,,
כבד אווז,,,,,,,,,,
אווז,,,,,,,,,,
קורנפלקס,,,,,,,,,,
טופו,,,,,,,,,,
טופי,,,,,,,,,,
רום,,,,,,,,,,
מייפל,,,,,,,,,,
גבינת חמד,,,,,,,,,,
חלומי,,,,,,,,,,
חרובים,,,,,,,,,,
ארטישוק ירושלמי,בטטה קסביה,,,,,,,,,
בהרט,בהארט,בהראט,,,,,,,,
רימון,רימונים,,,,,,,,,
חמוציות,חומציות,,,,,,,,,
אדממה,,,,,,,,,,
טורטיה,טורטייה,טורטיות,,,,,,,,
ברביקיו,ברבקיו,,,,,,,,,
פסטו,,,,,,,,,,
אריסה,הריסה,עריסה,,,,,,,,
סחוג,,,,,,,,,,
מרציפן,,,,,,,,,,
פירות אדומים,,,,,,,,,,
קורנפלור,קונפלור,,,,,,,,,
צבע מאכל אדום,,,,,,,,,,
צבע מאכל ורוד,,,,,,,,,,
צבע אכל ירוק,,,,,,,,,,
צבע מאכל לבן,,,,,,,,,,
גלוקוז,,,,,,,,,,
אבקת זהב,,,,,,,,,,
גלטין,ג'לטין,,,,,,,,,
גבינת ריקוטה,,,,,,,,,,
פרלינה,,,,,,,,,,
אגר אגר,אגר,,,,,,,,,
צבע מאכל,,,,,,,,,,
למון גראס,,,,,,,,,,
ליצי,ליצ'י,,,,,,,,,
אספרסו,,,,,,,,,,
פייטה פוטין,פייטה פויטין,פייטין,פאייטה,,,,,,,
גרנה פדנו,גרנה פדנה,,,,,,,,,
פקורינו,,,,,,,,,,
ריקוטה,,,,,,,,,,
נבטי חמנייה,נבטי חמניות,,,,,,,,,
נבטים,נבט,,,,,,,,,
צימוקים,צימוק,צמוקים,,,,,,,,
ארטישוק,,,,,,,,,,
עירית,אירית,,,,,,,,,
משמש,משמשים,מישמישים,מישמש,,,,,,,
ציר בקר,ציר בשר,ציר הבשר,,,,,,,,
ציר עוף,,,,,,,,,,
ציר ירקות,,,,,,,,,,
ראס אל חנות,,,,,,,,,,
דפנה,,,,,,,,,,
פרושוטו,פרושטו,,,,,,,,,
עשבי תיבול,,,,,,,,,,
גבינה כחושה,,,,,,,,,,
תערובת גבינות,,,,,,,,,,
גבינת קוואטרו,קוואטרו,,,,,,,,,
צנוניות,צנונית,,,,,,,,,
קרם פרש,,,,,,,,,,
אגוז,אגוזים,,,,,,,,,
דפי לזניה,,,,,,,,,,
פקטין,,,,,,,,,,
נתח בשר,,,,,,,,,,
אוסובוקו,אוסו בוקו,,,,,,,,,
ברווז,ברווזים,,,,,,,,,
תמצית ורדים,,,,,,,,,,
ורד,ורדים,,,,,,,,,
סומאק,סומק,,,,,,,,,
מרדקוש,,,,,,,,,,
בקצוי,בוק צ'וי,בוקצוי,פאק צוי,,,,,,,
פפאיה,,,,,,,,,,
טמפורה,,,,,,,,,,
עצמות העוף,עצמות עוף,,,,,,,,,
עצמות דג,,,,,,,,,,
עצמות,,,,,,,,,,
אנדיב,,,,,,,,,,
שומן בקר,,,,,,,,,,
צימיצורי,צ'ימיצ'ורי,,,,,,,,,
עץ,,,,,,,,,,
שסק,,,,,,,,,,
חוואייג,חוויאג,חוואיג,חווייאג,חאוויג,חאווייג,חוויג,חואייג,,,
קרח,,,,,,,,,,
רוויון,רויון,ריויון,ריוויון,ריווין,,,,,,
גריסים,גריסי,,,,,,,,,
פררו רושה,,,,,,,,,,
שוקו,,,,,,,,,,
שמפניה,שמפנייה,,,,,,,,,
תאנים,תאנה,,,,,,,,,
נוגט,נוג ט,,,,,,,,,
מצה,מצות,,,,,,,,,
גרעיני חמניות,גרעיני חמנייה,גרעיני חמניה,גרזרעי חמניות,זרעי חמנייה,,,,,,
סטיביה,,,,,,,,,,
פטיסייר,,,,,,,,,,
נקטרינה,נקטרינות,,,,,,,,,
גנאש,,,,,,,,,,
ברס,,,,,,,,,,
אייריש קרים,,,,,,,,,,
קרם טרטר,,,,,,,,,,
טפיוקה,,,,,,,,,,
פייטה,,,,,,,,,,
חומצה טרטרית,,,,,,,,,,
אבקת פנינה,,,,,,,,,,
קוניאק,,,,,,,,,,
קרמבואים,קרמבו,,,,,,,,,
מרנג, נשיקות קצף,,,,,,,,,
אפרסמון,אפרסמונים,,,,,,,,,
מי זהר,מי זוהר,,,,,,,,,
פט א בומב,,,,,,,,,,
קסנטאן גאם,קסנטן גאם,קסנטאן גם,קסנטן,קסנאטן גאם,קסאנטן גאם,,,,,
אנשובי,,,,,,,,,,
סנט מור,,,,,,,,,,
משפר אפייה,משפר אפיה,,,,,,,,,
שמרית,,,,,,,,,,
פנטה,,,,,,,,,,
פיטאיה,,,,,,,,,,
צה,ציה,,,,,,,,,
סובין,,,,,,,,,,
סיבים תזונתיים,סיבים,,,,,,,,,
מארס,,,,,,,,,,
גואר גאם,,,,,,,,,,
פירות,פרי,,,,,,,,,
נפאג,,,,,,,,,,
חבוש,חבושים,,,,,,,,,
סירופ אגבה,,,,,,,,,,
אגבה,,,,,,,,,,
פשתן,,,,,,,,,,
אתרוג,,,,,,,,,,
עוגת ספוג,,,,,,,,,,
תמצית ברגמוט,,,,,,,,,,
ממרח שומשומיה,,,,,,,,,,
פופקורן,,,,,,,,,,
מרטיני,,,,,,,,,,
פנקו,,,,,,,,,,
סירופ אמרנה,סירופ דובדבנים,,,,,,,,,
רוזטה,,,,,,,,,,
מי הדרים,מיי פריחת הדרים,רוטב הדרים,,,,,,,,
אמרנט,,,,,,,,,,
מעדן פרי,,,,,,,,,,
מיץ חזרת,,,,,,,,,,
מיץ,,,,,,,,,,
תיון,שקיות צאי,צאי,,,,,,,,
קמפרי,,,,,,,,,,
קאווה,קווה,,,,,,,,,
אמרטו,,,,,,,,,,
גרנד מרנייה,,,,,,,,,,
ממתיק,,,,,,,,,,
גרנדין,,,,,,,,,,
פפרוני,,,,,,,,,,
רוטב דגים,,,,,,,,,,
עוף,עופות,,,,,,,,,
פסטרמה,,,,,,,,,,
הודו טחון,הודו אדום טחון,,,,,,,,,
אשכי הודו,,,,,,,,,,
הודו,,,,,,,,,,
שומן כבש,,,,,,,,,,
כבש,,,,,,,,,,
עמבה,,,,,,,,,,
ווסאבי,וואסבי,וסאבי,,,,,,,,
גבטה,גבטות,,,,,,,,,
רוטב ווסטרשיר,רוטב ווסטשייר,רוטב ווסטרשייר,ווסטרשייר,ווסטר וורצסטר,רוטב וורצסטייר,רוטב וסטרשייר,רוטב ווסטצסטר,רוטב וורצסטר,רוטב ווסצסטר,רוטב ווסטרשר
חיטה,,,,,,,,,,
חזרת,,,,,,,,,,
זנב שור,ציר זנב,,,,,,,,,
פורט,,,,,,,,,,
ירקות,ירק,,,,,,,,,
במבה,,,,,,,,,,
רוטב צדפות,רוטב וויסטר,רוטב אויסטר,,,,,,,,
פרסה,,,,,,,,,,
טוגאראשי,טוגראשי,,,,,,,,,
פאדתאי,,,,,,,,,,
הוי סטיר,,,,,,,,,,
בייקון,,,,,,,,,,
הרינג,מליח,,,,,,,,,
ניוקי,,,,,,,,,,
חריסה,,,,,,,,,,
גבינת כנען,,,,,,,,,,
כוסמת,מת,,,,,,,,,
אונטר ריב,אונטריב,,,,,,,,,
גבינת גרוייר,גרוייר,,,,,,,,,
רשאד,,,,,,,,,,
ביצי דגים,,,,,,,,,,
גבינת בושרון,,,,,,,,,,
בקר,בשר,,,,,,,,,
במיה,,,,,,,,,,
גבינה קשה,גבינות קשות,,,,,,,,,
גבינת תבור,,,,,,,,,,
גבינת קצוטה,גבינת קצ'וטה,,,,,,,,,
גבינה,גבינת,גבינה מגוררת,גבינות,,,,,,,
מים,מי ברז,מי קרח,מיים,מי,,,,,,
מיורן,מיורם,אזוב תרבותי,,,,,,,,
ריחן,,,,,,,,,,
גרעינים,,,,,,,,,,
דגנים,,,,,,,,,,
דוחן,,,,,,,,,,
אבקת פירה,,,,,,,,,,
עור דג,,,,,,,,,,
דג,,,,,,,,,,
רוטב הויסין,,,,,,,,,,
שאטה,,,,,,,,,,
שאור,,,,,,,,,,
צאפטי,,,,,,,,,,
רוטב חריף מתוק,,,,,,,,,,
שיפון,,,,,,,,,,
סירופ,,,,,,,,,,
פקוס,פאקוס,,,,,,,,,
סאקי,סאקה,,,,,,,,,
ויניגרט,,,,,,,,,,
קרוטונים,,,,,,,,,,
ציר דאשי,,,,,,,,,,
דאשי,,,,,,,,,,
חובזה,,,,,,,,,,
סייטן,,,,,,,,,,
סבזי,,,,,,,,,,
מעיים,קישקע,,,,,,,,,
ריזוטו,,,,,,,,,,
ספוטה,,,,,,,,,,
שווארמה,,,,,,,,,,
ציר,,,,,,,,,,
שורש,,,,,,,,,,
עצם ברך,,,,,,,,,,
צוריסוס,,,,,,,,,,
ריאה,ריאות,,,,,,,,,
ציפס,צ'יפס,,,,,,,,,
שפיץ צ'אך,,,,,,,,,,
שומן,,,,,,,,,,
שינקן,,,,,,,,,,
נתח קצבים,,,,,,,,,,
חרשוף,,,,,,,,,,
סרפד,,,,,,,,,,
רוטב סרפד,,,,,,,,,,
רוטב יוזו,,,,,,,,,,
טיבון,פורטרהאוס,,,,,,,,,
ורמוט,,,,,,,,,,
קוויאר,,,,,,,,,,
סטייק,,,,,,,,,,
קוקי סן זאק,,,,,,,,,,
פרנו,,,,,,,,,,
סיידר,,,,,,,,,,
דייקון,,,,,,,,,,
כיסונים,כיסנים,,,,,,,,,
קבנוס,,,,,,,,,,
קרפציו,,,,,,,,,,
שוק גדי,,,,,,,,,,
ראשד,רשד,,,,,,,,,
סצואן,,,,,,,,,,
אחררט,,,,,,,,,,
גחנון,,,,,,,,,,
קארי,קרי,,,,,,,,,
בוקה גרני,,,,,,,,,,
טוגארשי,,,,,,,,,,
קסטות,,,,,,,,,,
פימס,,,,,,,,,,
קשסה,,,,,,,,,,
גין,ג'ין,,,,,,,,,
חומעה,,,,,,,,,,
טבסקו,טבאסקו,,,,,,,,,
חמציץ,,,,,,,,,,
קייגן,קאייגן,,,,,,,,,
ניצני שושנים,,,,,,,,,,
תמצית מסטיק,תמצית טעם מסטיק,,,,,,,,,
נפאז,,,,,,,,,,
טונקה,,,,,,,,,,
סודיום ציטרט,סודיום צירטט,,,,,,,,,
בוטרגה,,,,,,,,,,
סמנה,,,,,,,,,,
זרעי אנאטו,,,,,,,,,,
צתרה ורודה,,,,,,,,,,
יוזו,,,,,,,,,,
פרחי היביסקוס,,,,,,,,,,
איירן,,,,,,,,,,
ממרח טרשי,ממרח צרשי,,,,,,,,,
יונים,,,,,,,,,,
חוט שדרה,,,,,,,,,,
גהי,,,,,,,,,,
שרטרז ירוק,שרזרט ירוק,,,,,,,,,
קרגינן,,,,,,,,,,
קייגון,,,,,,,,,,
חציל,חצילים,ל,לים,,,,,,,
וניל,,,,,,,,,,
